"Group","Method","Route","Policy","Audited","AuditAction","Redaction","Status","Line"
"resources","GET","/api/v1/resources/report-presets/{presetScope}","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","7144"
"resources","POST","/api/v1/resources/report-presets/{presetScope}","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","7169"
"resources","DELETE","/api/v1/resources/report-presets/{presetScope}/{userReportPresetId:long}","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_BED_AVAILABILITY_BATCH","TBD","In Progress","7233"
"beds","POST","/api/v1/beds/import/availability","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_BED_AVAILABILITY_BATCH","TBD","In Progress","7411"
"beds","POST","/api/v1/beds/import/availability/csv","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_BED_AVAILABILITY_CSV","TBD","In Progress","7473"
"beds","POST","/api/v1/beds/import/availability/csv/reject-report","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_BED_AVAILABILITY_FHIR","TBD","In Progress","7549"
"beds","POST","/api/v1/beds/import/availability/fhir","AuthorizationPolicies.ResourceReporter","Yes","DATA_CHANGE / IMPORT_BED_AVAILABILITY_FHIR","TBD","In Progress","7590"
"beds","GET","/api/v1/beds/import/availability/fhir/adapter-contract","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","7662"
"beds","GET","/api/v1/beds/availability","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","7731"
"beds","POST","/api/v1/beds/availability/{locationId:long}","AuthorizationPolicies.ResourceReporter","TBD","TBD","TBD","Pending","7739"
